Event,Gender,Year,Label,CutType,Time,DupCheck
100 Back,Men,2025,2025 A,A,44.48,100 BackMen20252025 AA
100 Back,Men,2025,2025 B,B,47.16,100 BackMen20252025 BB
100 Breast,Men,2025,2025 A,A,51.02,100 BreastMen20252025 AA
100 Breast,Men,2025,2025 B,B,53.43,100 BreastMen20252025 BB
100 Fly,Men,2025,2025 A,A,44.51,100 FlyMen20252025 AA
100 Fly,Men,2025,2025 B,B,46.8,100 FlyMen20252025 BB
100 Free,Men,2025,2025 A,A,41.34,100 FreeMen20252025 AA
100 Free,Men,2025,2025 B,B,43.25,100 FreeMen20252025 BB
1650 Free,Men,2025,2025 A,A,14:37.31,1650 FreeMen20252025 AA
1650 Free,Men,2025,2025 B,B,15:21.20,1650 FreeMen20252025 BB
200 Back,Men,2025,2025 A,A,1:38.80,200 BackMen20252025 AA
200 Back,Men,2025,2025 B,B,1:44.03,200 BackMen20252025 BB
200 Breast,Men,2025,2025 A,A,1:50.65,200 BreastMen20252025 AA
200 Breast,Men,2025,2025 B,B,1:56.96,200 BreastMen20252025 BB
200 Fly,Men,2025,2025 A,A,1:40.05,200 FlyMen20252025 AA
200 Fly,Men,2025,2025 B,B,1:45.34,200 FlyMen20252025 BB
200 Free,Men,2025,2025 A,A,1:31.21,200 FreeMen20252025 AA
200 Free,Men,2025,2025 B,B,1:35.35,200 FreeMen20252025 BB
200 Free Relay,Men,2025,2025 A,A,1:16.51,200 Free RelayMen20252025 AA
200 Free Relay,Men,2025,2025 B,B,1:17.13,200 Free RelayMen20252025 BB
200 IM,Men,2025,2025 A,A,1:40.75,200 IMMen20252025 AA
200 IM,Men,2025,2025 B,B,1:45.68,200 IMMen20252025 BB
200 Medley Relay,Men,2025,2025 A,A,1:23.62,200 Medley RelayMen20252025 AA
200 Medley Relay,Men,2025,2025 B,B,1:23.90,200 Medley RelayMen20252025 BB
400 Free Relay,Men,2025,2025 A,A,2:49.79,400 Free RelayMen20252025 AA
400 Free Relay,Men,2025,2025 B,B,2:51.01,400 Free RelayMen20252025 BB
400 IM,Men,2025,2025 A,A,3:38.37,400 IMMen20252025 AA
400 IM,Men,2025,2025 B,B,3:49.53,400 IMMen20252025 BB
400 Medley Relay,Men,2025,2025 A,A,3:04.96,400 Medley RelayMen20252025 AA
400 Medley Relay,Men,2025,2025 B,B,3:06.37,400 Medley RelayMen20252025 BB
50 Free,Men,2025,2025 A,A,18.72,50 FreeMen20252025 AA
50 Free,Men,2025,2025 B,B,19.69,50 FreeMen20252025 BB
500 Free,Men,2025,2025 A,A,4:10.64,500 FreeMen20252025 AA
500 Free,Men,2025,2025 B,B,4:21.28,500 FreeMen20252025 BB
800 Free Relay,Men,2025,2025 A,A,6:15.80,800 Free RelayMen20252025 AA
800 Free Relay,Men,2025,2025 B,B,6:18.42,800 Free RelayMen20252025 BB
100 Back,Women,2025,2025 A,A,50.66,100 BackWomen20252025 AA
100 Back,Women,2025,2025 B,B,53.53,100 BackWomen20252025 BB
100 Breast,Women,2025,2025 A,A,58.01,100 BreastWomen20252025 AA
100 Breast,Women,2025,2025 B,B,1:01.22,100 BreastWomen20252025 BB
100 Fly,Women,2025,2025 A,A,50.52,100 FlyWomen20252025 AA
100 Fly,Women,2025,2025 B,B,53.34,100 FlyWomen20252025 BB
100 Free,Women,2025,2025 A,A,47.1,100 FreeWomen20252025 AA
100 Free,Women,2025,2025 B,B,49.18,100 FreeWomen20252025 BB
1650 Free,Women,2025,2025 A,A,15:52.41,1650 FreeWomen20252025 AA
1650 Free,Women,2025,2025 B,B,16:41.45,1650 FreeWomen20252025 BB
200 Back,Women,2025,2025 A,A,1:50.50,200 BackWomen20252025 AA
200 Back,Women,2025,2025 B,B,1:56.71,200 BackWomen20252025 BB
200 Breast,Women,2025,2025 A,A,2:05.73,200 BreastWomen20252025 AA
200 Breast,Women,2025,2025 B,B,2:13.28,200 BreastWomen20252025 BB
200 Fly,Women,2025,2025 A,A,1:52.47,200 FlyWomen20252025 AA
200 Fly,Women,2025,2025 B,B,1:58.93,200 FlyWomen20252025 BB
200 Free,Women,2025,2025 A,A,1:42.60,200 FreeWomen20252025 AA
200 Free,Women,2025,2025 B,B,1:46.85,200 FreeWomen20252025 BB
200 Free Relay,Women,2025,2025 A,A,1:28.42,200 Free RelayWomen20252025 AA
200 Free Relay,Women,2025,2025 B,B,1:29.00,200 Free RelayWomen20252025 BB
200 IM,Women,2025,2025 A,A,1:53.66,200 IMWomen20252025 AA
200 IM,Women,2025,2025 B,B,1:59.35,200 IMWomen20252025 BB
200 Medley Relay,Women,2025,2025 A,A,1:36.24,200 Medley RelayWomen20252025 AA
200 Medley Relay,Women,2025,2025 B,B,1:36.76,200 Medley RelayWomen20252025 BB
400 Free Relay,Women,2025,2025 A,A,3:13.74,400 Free RelayWomen20252025 AA
400 Free Relay,Women,2025,2025 B,B,3:15.28,400 Free RelayWomen20252025 BB
400 IM,Women,2025,2025 A,A,4:03.62,400 IMWomen20252025 AA
400 IM,Women,2025,2025 B,B,4:16.78,400 IMWomen20252025 BB
400 Medley Relay,Women,2025,2025 A,A,3:30.89,400 Medley RelayWomen20252025 AA
400 Medley Relay,Women,2025,2025 B,B,3:32.88,400 Medley RelayWomen20252025 BB
50 Free,Women,2025,2025 A,A,21.58,50 FreeWomen20252025 AA
50 Free,Women,2025,2025 B,B,22.58,50 FreeWomen20252025 BB
500 Free,Women,2025,2025 A,A,4:36.89,500 FreeWomen20252025 AA
500 Free,Women,2025,2025 B,B,4:47.20,500 FreeWomen20252025 BB
800 Free Relay,Women,2025,2025 A,A,7:00.86,800 Free RelayWomen20252025 AA
800 Free Relay,Women,2025,2025 B,B,7:05.56,800 Free RelayWomen20252025 BB
100 Back,Men,2024,2024 A,A,44.71,100 BackMen20242024 AA
100 Back,Men,2024,2024 B,B,47.47,100 BackMen20242024 BB
100 Back,Men,2024,2024 Invited,I,45.56,100 BackMen20242024 InvitedI
100 Breast,Men,2024,2024 A,A,51.1,100 BreastMen20242024 AA
100 Breast,Men,2024,2024 B,B,53.63,100 BreastMen20242024 BB
100 Breast,Men,2024,2024 Invited,I,51.89,100 BreastMen20242024 InvitedI
100 Fly,Men,2024,2024 A,A,44.64,100 FlyMen20242024 AA
100 Fly,Men,2024,2024 B,B,47.08,100 FlyMen20242024 BB
100 Fly,Men,2024,2024 Invited,I,45.37,100 FlyMen20242024 InvitedI
100 Free,Men,2024,2024 A,A,41.5,100 FreeMen20242024 AA
100 Free,Men,2024,2024 B,B,43.46,100 FreeMen20242024 BB
100 Free,Men,2024,2024 Invited,I,42.22,100 FreeMen20242024 InvitedI
1650 Free,Men,2024,2024 A,A,14:37.31,1650 FreeMen20242024 AA
1650 Free,Men,2024,2024 B,B,15:25.12,1650 FreeMen20242024 BB
1650 Free,Men,2024,2024 Invited,I,14:54.92,1650 FreeMen20242024 InvitedI
200 Back,Men,2024,2024 A,A,1:39.13,200 BackMen20242024 AA
200 Back,Men,2024,2024 B,B,1:44.60,200 BackMen20242024 BB
200 Back,Men,2024,2024 Invited,I,1:40.62,200 BackMen20242024 InvitedI
200 Breast,Men,2024,2024 A,A,1:51.09,200 BreastMen20242024 AA
200 Breast,Men,2024,2024 B,B,1:57.44,200 BreastMen20242024 BB
200 Breast,Men,2024,2024 Invited,I,1:53.12,200 BreastMen20242024 InvitedI
200 Fly,Men,2024,2024 A,A,1:40.16,200 FlyMen20242024 AA
200 Fly,Men,2024,2024 B,B,1:45.89,200 FlyMen20242024 BB
200 Fly,Men,2024,2024 Invited,I,1:42.10,200 FlyMen20242024 InvitedI
200 Free,Men,2024,2024 A,A,1:31.74,200 FreeMen20242024 AA
200 Free,Men,2024,2024 B,B,1:35.79,200 FreeMen20242024 BB
200 Free,Men,2024,2024 Invited,I,1:32.93,200 FreeMen20242024 InvitedI
200 Free Relay,Men,2024,2024 A,A,1:16.80,200 Free RelayMen20242024 AA
200 Free Relay,Men,2024,2024 B,B,1:17.38,200 Free RelayMen20242024 BB
200 Free Relay,Men,2024,2024 Invited,I,1:17.32,200 Free RelayMen20242024 InvitedI
200 IM,Men,2024,2024 A,A,1:41.03,200 IMMen20242024 AA
200 IM,Men,2024,2024 B,B,1:46.16,200 IMMen20242024 BB
200 IM,Men,2024,2024 Invited,I,1:43.05,200 IMMen20242024 InvitedI
200 Medley Relay,Men,2024,2024 A,A,1:23.71,200 Medley RelayMen20242024 AA
200 Medley Relay,Men,2024,2024 B,B,1:24.32,200 Medley RelayMen20242024 BB
200 Medley Relay,Men,2024,2024 Invited,I,1:24.25,200 Medley RelayMen20242024 InvitedI
400 Free Relay,Men,2024,2024 A,A,2:50.44,400 Free RelayMen20242024 AA
400 Free Relay,Men,2024,2024 B,B,2:51.86,400 Free RelayMen20242024 BB
400 Free Relay,Men,2024,2024 Invited,I,2:51.84,400 Free RelayMen20242024 InvitedI
400 IM,Men,2024,2024 A,A,3:38.90,400 IMMen20242024 AA
400 IM,Men,2024,2024 B,B,3:50.68,400 IMMen20242024 BB
400 IM,Men,2024,2024 Invited,I,3:42.93,400 IMMen20242024 InvitedI
400 Medley Relay,Men,2024,2024 A,A,3:04.96,400 Medley RelayMen20242024 AA
400 Medley Relay,Men,2024,2024 B,B,3:06.84,400 Medley RelayMen20242024 BB
400 Medley Relay,Men,2024,2024 Invited,I,3:06.70,400 Medley RelayMen20242024 InvitedI
50 Free,Men,2024,2024 A,A,18.82,50 FreeMen20242024 AA
50 Free,Men,2024,2024 B,B,19.79,50 FreeMen20242024 BB
50 Free,Men,2024,2024 Invited,I,19.13,50 FreeMen20242024 InvitedI
500 Free,Men,2024,2024 A,A,4:10.74,500 FreeMen20242024 AA
500 Free,Men,2024,2024 B,B,4:21.99,500 FreeMen20242024 BB
500 Free,Men,2024,2024 Invited,I,4:14.90,500 FreeMen20242024 InvitedI
800 Free Relay,Men,2024,2024 A,A,6:16.02,800 Free RelayMen20242024 AA
800 Free Relay,Men,2024,2024 B,B,6:18.94,800 Free RelayMen20242024 BB
800 Free Relay,Men,2024,2024 Invited,I,6:18.50,800 Free RelayMen20242024 InvitedI
100 Back,Women,2024,2024 A,A,50.88,100 BackWomen20242024 AA
100 Back,Women,2024,2024 B,B,53.82,100 BackWomen20242024 BB
100 Back,Women,2024,2024 Invited,I,52.28,100 BackWomen20242024 InvitedI
100 Breast,Women,2024,2024 A,A,58.02,100 BreastWomen20242024 AA
100 Breast,Women,2024,2024 B,B,1:01.46,100 BreastWomen20242024 BB
100 Breast,Women,2024,2024 Invited,I,59.75,100 BreastWomen20242024 InvitedI
100 Fly,Women,2024,2024 A,A,50.69,100 FlyWomen20242024 AA
100 Fly,Women,2024,2024 B,B,53.63,100 FlyWomen20242024 BB
100 Fly,Women,2024,2024 Invited,I,51.88,100 FlyWomen20242024 InvitedI
100 Free,Women,2024,2024 A,A,47.18,100 FreeWomen20242024 AA
100 Free,Women,2024,2024 B,B,49.36,100 FreeWomen20242024 BB
100 Free,Women,2024,2024 Invited,I,48.34,100 FreeWomen20242024 InvitedI
1650 Free,Women,2024,2024 A,A,15:52.41,1650 FreeWomen20242024 AA
1650 Free,Women,2024,2024 B,B,16:30.59,1650 FreeWomen20242024 BB
1650 Free,Women,2024,2024 Invited,I,16:14.82,1650 FreeWomen20242024 InvitedI
200 Back,Women,2024,2024 A,A,1:50.50,200 BackWomen20242024 AA
200 Back,Women,2024,2024 B,B,1:57.07,200 BackWomen20242024 BB
200 Back,Women,2024,2024 Invited,I,1:54.01,200 BackWomen20242024 InvitedI
200 Breast,Women,2024,2024 A,A,2:05.73,200 BreastWomen20242024 AA
200 Breast,Women,2024,2024 B,B,2:13.86,200 BreastWomen20242024 BB
200 Breast,Women,2024,2024 Invited,I,2:09.55,200 BreastWomen20242024 InvitedI
200 Fly,Women,2024,2024 A,A,1:52.86,200 FlyWomen20242024 AA
200 Fly,Women,2024,2024 B,B,1:59.23,200 FlyWomen20242024 BB
200 Fly,Women,2024,2024 Invited,I,1:55.88,200 FlyWomen20242024 InvitedI
200 Free,Women,2024,2024 A,A,1:42.84,200 FreeWomen20242024 AA
200 Free,Women,2024,2024 B,B,1:47.12,200 FreeWomen20242024 BB
200 Free,Women,2024,2024 Invited,I,1:44.80,200 FreeWomen20242024 InvitedI
200 Free Relay,Women,2024,2024 A,A,1:28.43,200 Free RelayWomen20242024 AA
200 Free Relay,Women,2024,2024 B,B,1:29.21,200 Free RelayWomen20242024 BB
200 Free Relay,Women,2024,2024 Invited,I,1:29.17,200 Free RelayWomen20242024 InvitedI
200 IM,Women,2024,2024 A,A,1:53.66,200 IMWomen20242024 AA
200 IM,Women,2024,2024 B,B,1:59.56,200 IMWomen20242024 BB
200 IM,Women,2024,2024 Invited,I,1:57.03,200 IMWomen20242024 InvitedI
200 Medley Relay,Women,2024,2024 A,A,1:36.24,200 Medley RelayWomen20242024 AA
200 Medley Relay,Women,2024,2024 B,B,1:37.00,200 Medley RelayWomen20242024 BB
200 Medley Relay,Women,2024,2024 Invited,I,1:36.79,200 Medley RelayWomen20242024 InvitedI
400 Free Relay,Women,2024,2024 A,A,3:14.10,400 Free RelayWomen20242024 AA
400 Free Relay,Women,2024,2024 B,B,3:16.25,400 Free RelayWomen20242024 BB
400 Free Relay,Women,2024,2024 Invited,I,3:16.11,400 Free RelayWomen20242024 InvitedI
400 IM,Women,2024,2024 A,A,4:03.62,400 IMWomen20242024 AA
400 IM,Women,2024,2024 B,B,4:17.30,400 IMWomen20242024 BB
400 IM,Women,2024,2024 Invited,I,4:10.74,400 IMWomen20242024 InvitedI
400 Medley Relay,Women,2024,2024 A,A,3:31.38,400 Medley RelayWomen20242024 AA
400 Medley Relay,Women,2024,2024 B,B,3:33.48,400 Medley RelayWomen20242024 BB
400 Medley Relay,Women,2024,2024 Invited,I,3:32.86,400 Medley RelayWomen20242024 InvitedI
50 Free,Women,2024,2024 A,A,21.63,50 FreeWomen20242024 AA
50 Free,Women,2024,2024 B,B,22.67,50 FreeWomen20242024 BB
50 Free,Women,2024,2024 Invited,I,22.11,50 FreeWomen20242024 InvitedI
500 Free,Women,2024,2024 A,A,4:37.89,500 FreeWomen20242024 AA
500 Free,Women,2024,2024 B,B,4:47.20,500 FreeWomen20242024 BB
500 Free,Women,2024,2024 Invited,I,4:41.19,500 FreeWomen20242024 InvitedI
800 Free Relay,Women,2024,2024 A,A,7:00.86,800 Free RelayWomen20242024 AA
800 Free Relay,Women,2024,2024 B,B,7:05.88,800 Free RelayWomen20242024 BB
800 Free Relay,Women,2024,2024 Invited,I,7:05.77,800 Free RelayWomen20242024 InvitedI
100 Back,Men,2023,2023 A,A,44.79,100 BackMen20232023 AA
100 Back,Men,2023,2023 B,B,47.59,100 BackMen20232023 BB
100 Back,Men,2023,2023 Invited,I,45.70,100 BackMen20232023 InvitedI
100 Breast,Men,2023,2023 A,A,51.40,100 BreastMen20232023 AA
100 Breast,Men,2023,2023 B,B,53.87,100 BreastMen20232023 BB
100 Breast,Men,2023,2023 Invited,I,51.90,100 BreastMen20232023 InvitedI
100 Fly,Men,2023,2023 A,A,44.82,100 FlyMen20232023 AA
100 Fly,Men,2023,2023 B,B,47.23,100 FlyMen20232023 BB
100 Fly,Men,2023,2023 Invited,I,45.57,100 FlyMen20232023 InvitedI
100 Free,Men,2023,2023 A,A,41.64,100 FreeMen20232023 AA
100 Free,Men,2023,2023 B,B,43.59,100 FreeMen20232023 BB
100 Free,Men,2023,2023 Invited,I,42.32,100 FreeMen20232023 InvitedI
1650 Free,Men,2023,2023 A,A,14:37.31,1650 FreeMen20232023 AA
1650 Free,Men,2023,2023 B,B,15:26.19,1650 FreeMen20232023 BB
1650 Free,Men,2023,2023 Invited,I,14:53.54,1650 FreeMen20232023 InvitedI
200 Back,Men,2023,2023 A,A,1:39.13,200 BackMen20232023 AA
200 Back,Men,2023,2023 B,B,1:44.82,200 BackMen20232023 BB
200 Back,Men,2023,2023 Invited,I,1:40.62,200 BackMen20232023 InvitedI
200 Breast,Men,2023,2023 A,A,1:51.54,200 BreastMen20232023 AA
200 Breast,Men,2023,2023 B,B,1:57.95,200 BreastMen20232023 BB
200 Breast,Men,2023,2023 Invited,I,1:52.94,200 BreastMen20232023 InvitedI
200 Fly,Men,2023,2023 A,A,1:40.20,200 FlyMen20232023 AA
200 Fly,Men,2023,2023 B,B,1:46.31,200 FlyMen20232023 BB
200 Fly,Men,2023,2023 Invited,I,1:42.57,200 FlyMen20232023 InvitedI
200 Free,Men,2023,2023 A,A,1:31.98,200 FreeMen20232023 AA
200 Free,Men,2023,2023 B,B,1:35.88,200 FreeMen20232023 BB
200 Free,Men,2023,2023 Invited,I,1:32.85,200 FreeMen20232023 InvitedI
200 Free Relay,Men,2023,2023 A,A,1:16.80,200 Free RelayMen20232023 AA
200 Free Relay,Men,2023,2023 B,B,1:17.58,200 Free RelayMen20232023 BB
200 Free Relay,Men,2023,2023 Invited,I,1:17.26,200 Free RelayMen20232023 InvitedI
200 IM,Men,2023,2023 A,A,1:41.22,200 IMMen20232023 AA
200 IM,Men,2023,2023 B,B,1:46.52,200 IMMen20232023 BB
200 IM,Men,2023,2023 Invited,I,1:43.14,200 IMMen20232023 InvitedI
200 Medley Relay,Men,2023,2023 A,A,1:23.76,200 Medley RelayMen20232023 AA
200 Medley Relay,Men,2023,2023 B,B,1:24.42,200 Medley RelayMen20232023 BB
200 Medley Relay,Men,2023,2023 Invited,I,1:24.22,200 Medley RelayMen20232023 InvitedI
400 Free Relay,Men,2023,2023 A,A,2:50.52,400 Free RelayMen20232023 AA
400 Free Relay,Men,2023,2023 B,B,2:52.44,400 Free RelayMen20232023 BB
400 Free Relay,Men,2023,2023 Invited,I,2:51.81,400 Free RelayMen20232023 InvitedI
400 IM,Men,2023,2023 A,A,3:39.16,400 IMMen20232023 AA
400 IM,Men,2023,2023 B,B,3:51.31,400 IMMen20232023 BB
400 IM,Men,2023,2023 Invited,I,3:42.99,400 IMMen20232023 InvitedI
400 Medley Relay,Men,2023,2023 A,A,3:04.96,400 Medley RelayMen20232023 AA
400 Medley Relay,Men,2023,2023 B,B,3:06.84,400 Medley RelayMen20232023 BB
400 Medley Relay,Men,2023,2023 Invited,I,3:06.82,400 Medley RelayMen20232023 InvitedI
50 Free,Men,2023,2023 A,A,18.88,50 FreeMen20232023 AA
50 Free,Men,2023,2023 B,B,19.82,50 FreeMen20232023 BB
50 Free,Men,2023,2023 Invited,I,19.21,50 FreeMen20232023 InvitedI
500 Free,Men,2023,2023 A,A,4:11.40,500 FreeMen20232023 AA
500 Free,Men,2023,2023 B,B,4:22.35,500 FreeMen20232023 BB
500 Free,Men,2023,2023 Invited,I,4:14.36,500 FreeMen20232023 InvitedI
800 Free Relay,Men,2023,2023 A,A,6:16.02,800 Free RelayMen20232023 AA
800 Free Relay,Men,2023,2023 B,B,6:20.41,800 Free RelayMen20232023 BB
800 Free Relay,Men,2023,2023 Invited,I,6:19.45,800 Free RelayMen20232023 InvitedI
100 Back,Women,2023,2023 A,A,50.89,100 BackWomen20232023 AA
100 Back,Women,2023,2023 B,B,53.91,100 BackWomen20232023 BB
100 Back,Women,2023,2023 Invited,I,52.36,100 BackWomen20232023 InvitedI
100 Breast,Women,2023,2023 A,A,58.10,100 BreastWomen20232023 AA
100 Breast,Women,2023,2023 B,B,1:01.56,100 BreastWomen20232023 BB
100 Breast,Women,2023,2023 Invited,I,59.73,100 BreastWomen20232023 InvitedI
100 Fly,Women,2023,2023 A,A,50.92,100 FlyWomen20232023 AA
100 Fly,Women,2023,2023 B,B,53.69,100 FlyWomen20232023 BB
100 Fly,Women,2023,2023 Invited,I,52.20,100 FlyWomen20232023 InvitedI
100 Free,Women,2023,2023 A,A,47.18,100 FreeWomen20232023 AA
100 Free,Women,2023,2023 B,B,49.44,100 FreeWomen20232023 BB
100 Free,Women,2023,2023 Invited,I,48.37,100 FreeWomen20232023 InvitedI
1650 Free,Women,2023,2023 A,A,15:52.41,1650 FreeWomen20232023 AA
1650 Free,Women,2023,2023 B,B,16:30.59,1650 FreeWomen20232023 BB
1650 Free,Women,2023,2023 Invited,I,16:13.73,1650 FreeWomen20232023 InvitedI
200 Back,Women,2023,2023 A,A,1:50.50,200 BackWomen20232023 AA
200 Back,Women,2023,2023 B,B,1:57.07,200 BackWomen20232023 BB
200 Back,Women,2023,2023 Invited,I,1:53.94,200 BackWomen20232023 InvitedI
200 Breast,Women,2023,2023 A,A,2:06.18,200 BreastWomen20232023 AA
200 Breast,Women,2023,2023 B,B,2:13.89,200 BreastWomen20232023 BB
200 Breast,Women,2023,2023 Invited,I,2:09.83,200 BreastWomen20232023 InvitedI
200 Fly,Women,2023,2023 A,A,1:52.86,200 FlyWomen20232023 AA
200 Fly,Women,2023,2023 B,B,1:59.23,200 FlyWomen20232023 BB
200 Fly,Women,2023,2023 Invited,I,1:55.92,200 FlyWomen20232023 InvitedI
200 Free,Women,2023,2023 A,A,1:42.84,200 FreeWomen20232023 AA
200 Free,Women,2023,2023 B,B,1:47.12,200 FreeWomen20232023 BB
200 Free,Women,2023,2023 Invited,I,1:45.31,200 FreeWomen20232023 InvitedI
200 Free Relay,Women,2023,2023 A,A,1:28.43,200 Free RelayWomen20232023 AA
200 Free Relay,Women,2023,2023 B,B,1:29.21,200 Free RelayWomen20232023 BB
200 Free Relay,Women,2023,2023 Invited,I,1:29.20,200 Free RelayWomen20232023 InvitedI
200 IM,Women,2023,2023 A,A,1:53.66,200 IMWomen20232023 AA
200 IM,Women,2023,2023 B,B,1:59.56,200 IMWomen20232023 BB
200 IM,Women,2023,2023 Invited,I,1:56.90,200 IMWomen20232023 InvitedI
200 Medley Relay,Women,2023,2023 A,A,1:36.24,200 Medley RelayWomen20232023 AA
200 Medley Relay,Women,2023,2023 B,B,1:37.02,200 Medley RelayWomen20232023 BB
200 Medley Relay,Women,2023,2023 Invited,I,1:36.96,200 Medley RelayWomen20232023 InvitedI
400 Free Relay,Women,2023,2023 A,A,3:14.10,400 Free RelayWomen20232023 AA
400 Free Relay,Women,2023,2023 B,B,3:16.32,400 Free RelayWomen20232023 BB
400 Free Relay,Women,2023,2023 Invited,I,3:15.97,400 Free RelayWomen20232023 InvitedI
400 IM,Women,2023,2023 A,A,4:03.62,400 IMWomen20232023 AA
400 IM,Women,2023,2023 B,B,4:17.30,400 IMWomen20232023 BB
400 IM,Women,2023,2023 Invited,I,4:11.36,400 IMWomen20232023 InvitedI
400 Medley Relay,Women,2023,2023 A,A,3:31.38,400 Medley RelayWomen20232023 AA
400 Medley Relay,Women,2023,2023 B,B,3:33.54,400 Medley RelayWomen20232023 BB
400 Medley Relay,Women,2023,2023 Invited,I,3:32.90,400 Medley RelayWomen20232023 InvitedI
50 Free,Women,2023,2023 A,A,21.66,50 FreeWomen20232023 AA
50 Free,Women,2023,2023 B,B,22.71,50 FreeWomen20232023 BB
50 Free,Women,2023,2023 Invited,I,22.15,50 FreeWomen20232023 InvitedI
500 Free,Women,2023,2023 A,A,4:35.76,500 FreeWomen20232023 AA
500 Free,Women,2023,2023 B,B,4:47.20,500 FreeWomen20232023 BB
500 Free,Women,2023,2023 Invited,I,4:41.09,500 FreeWomen20232023 InvitedI
800 Free Relay,Women,2023,2023 A,A,7:00.86,800 Free RelayWomen20232023 AA
800 Free Relay,Women,2023,2023 B,B,7:05.88,800 Free RelayWomen20232023 BB
800 Free Relay,Women,2023,2023 Invited,I,7:05.59,800 Free RelayWomen20232023 InvitedI
100 Back,Men,2022,2022 A,A,44.94,100 BackMen20222022 AA
100 Back,Men,2022,2022 B,B,47.77,100 BackMen20222022 BB
100 Back,Men,2022,2022 Invited,I,45.87,100 BackMen20222022 InvitedI
100 Breast,Men,2022,2022 A,A,51.59,100 BreastMen20222022 AA
100 Breast,Men,2022,2022 B,B,54.27,100 BreastMen20222022 BB
100 Breast,Men,2022,2022 Invited,I,52.20,100 BreastMen20222022 InvitedI
100 Fly,Men,2022,2022 A,A,44.96,100 FlyMen20222022 AA
100 Fly,Men,2022,2022 B,B,47.43,100 FlyMen20222022 BB
100 Fly,Men,2022,2022 Invited,I,45.57,100 FlyMen20222022 InvitedI
100 Free,Men,2022,2022 A,A,41.71,100 FreeMen20222022 AA
100 Free,Men,2022,2022 B,B,43.80,100 FreeMen20222022 BB
100 Free,Men,2022,2022 Invited,I,42.34,100 FreeMen20222022 InvitedI
1650 Free,Men,2022,2022 A,A,14:37.31,1650 FreeMen20222022 AA
1650 Free,Men,2022,2022 B,B,15:26.19,1650 FreeMen20222022 BB
1650 Free,Men,2022,2022 Invited,I,14:55.21,1650 FreeMen20222022 InvitedI
200 Back,Men,2022,2022 A,A,1:39.13,200 BackMen20222022 AA
200 Back,Men,2022,2022 B,B,1:45.04,200 BackMen20222022 BB
200 Back,Men,2022,2022 Invited,I,1:40.92,200 BackMen20222022 InvitedI
200 Breast,Men,2022,2022 A,A,1:52.28,200 BreastMen20222022 AA
200 Breast,Men,2022,2022 B,B,1:58.43,200 BreastMen20222022 BB
200 Breast,Men,2022,2022 Invited,I,1:53.23,200 BreastMen20222022 InvitedI
200 Fly,Men,2022,2022 A,A,1:40.44,200 FlyMen20222022 AA
200 Fly,Men,2022,2022 B,B,1:46.69,200 FlyMen20222022 BB
200 Fly,Men,2022,2022 Invited,I,1:42.42,200 FlyMen20222022 InvitedI
200 Free,Men,2022,2022 A,A,1:32.05,200 FreeMen20222022 AA
200 Free,Men,2022,2022 B,B,1:36.32,200 FreeMen20222022 BB
200 Free,Men,2022,2022 Invited,I,1:33.08,200 FreeMen20222022 InvitedI
200 Free Relay,Men,2022,2022 A,A,1:17.07,200 Free RelayMen20222022 AA
200 Free Relay,Men,2022,2022 B,B,1:17.80,200 Free RelayMen20222022 BB
200 Free Relay,Men,2022,2022 Invited,I,1:17.59,200 Free RelayMen20222022 InvitedI
200 IM,Men,2022,2022 A,A,1:41.34,200 IMMen20222022 AA
200 IM,Men,2022,2022 B,B,1:46.77,200 IMMen20222022 BB
200 IM,Men,2022,2022 Invited,I,1:43.36,200 IMMen20222022 InvitedI
200 Medley Relay,Men,2022,2022 A,A,1:24.22,200 Medley RelayMen20222022 AA
200 Medley Relay,Men,2022,2022 B,B,1:24.83,200 Medley RelayMen20222022 BB
200 Medley Relay,Men,2022,2022 Invited,I,1:24.83,200 Medley RelayMen20222022 InvitedI
400 Free Relay,Men,2022,2022 A,A,2:50.99,400 Free RelayMen20222022 AA
400 Free Relay,Men,2022,2022 B,B,2:52.46,400 Free RelayMen20222022 BB
400 Free Relay,Men,2022,2022 Invited,I,2:52.26,400 Free RelayMen20222022 InvitedI
400 IM,Men,2022,2022 A,A,3:39.16,400 IMMen20222022 AA
400 IM,Men,2022,2022 B,B,3:51.46,400 IMMen20222022 BB
400 IM,Men,2022,2022 Invited,I,3:43.50,400 IMMen20222022 InvitedI
400 Medley Relay,Men,2022,2022 A,A,3:05.47,400 Medley RelayMen20222022 AA
400 Medley Relay,Men,2022,2022 B,B,3:07.53,400 Medley RelayMen20222022 BB
400 Medley Relay,Men,2022,2022 Invited,I,3:07.29,400 Medley RelayMen20222022 InvitedI
50 Free,Men,2022,2022 A,A,18.96,50 FreeMen20222022 AA
50 Free,Men,2022,2022 B,B,19.96,50 FreeMen20222022 BB
50 Free,Men,2022,2022 Invited,I,19.28,50 FreeMen20222022 InvitedI
500 Free,Men,2022,2022 A,A,4:11.62,500 FreeMen20222022 AA
500 Free,Men,2022,2022 B,B,4:23.34,500 FreeMen20222022 BB
500 Free,Men,2022,2022 Invited,I,4:14.96,500 FreeMen20222022 InvitedI
800 Free Relay,Men,2022,2022 A,A,6:16.80,800 Free RelayMen20222022 AA
800 Free Relay,Men,2022,2022 B,B,6:21.32,800 Free RelayMen20222022 BB
